threshold,group,accuracy,fpr,fnr
0.26000000000000006,Z,0.9583333333333334,0.0,0.041666666666666664
0.26000000000000006,mixed,1.0,0.0,0.0
0.2700000000000001,A,0.9983870967741936,0.0,0.0016129032258064516
0.2700000000000001,B,0.996,0.0,0.004
0.2700000000000001,C,0.9944547134935305,0.0,0.005545286506469501
0.2700000000000001,D,0.9818181818181818,0.0,0.01818181818181818
0.2700000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2700000000000001,F,1.0,0.0,0.0
0.2700000000000001,G,0.9957127545551983,0.0,0.004287245444801715
0.2700000000000001,H,1.0,0.0,0.0
0.2700000000000001,I,1.0,0.0,0.0
0.2700000000000001,J,0.9981634527089073,0.0,0.0018365472910927456
0.2700000000000001,K,1.0,0.0,0.0
0.2700000000000001,L,0.9970149253731343,0.0,0.0029850746268656717
0.2700000000000001,M,0.9901768172888016,0.0,0.009823182711198428
0.2700000000000001,N,0.984375,0.0,0.015625
0.2700000000000001,O,1.0,0.0,0.0
0.2700000000000001,P,0.991869918699187,0.0,0.008130081300813009
0.2700000000000001,Q,1.0,0.0,0.0
0.2700000000000001,R,0.9954337899543378,0.0,0.0045662100456621
0.2700000000000001,S,0.9831932773109243,0.0,0.01680672268907563
0.2700000000000001,T,0.9977528089887641,0.0,0.0022471910112359553
0.2700000000000001,U,1.0,0.0,0.0
0.2700000000000001,V,1.0,0.0,0.0
0.2700000000000001,W,1.0,0.0,0.0
0.2700000000000001,X,1.0,0.0,0.0
0.2700000000000001,Y,1.0,0.0,0.0
0.2700000000000001,Z,0.9583333333333334,0.0,0.041666666666666664
0.2700000000000001,mixed,1.0,0.0,0.0
0.2800000000000001,A,0.9983870967741936,0.0,0.0016129032258064516
0.2800000000000001,B,0.996,0.0,0.004
0.2800000000000001,C,0.9944547134935305,0.0,0.005545286506469501
0.2800000000000001,D,0.9818181818181818,0.0,0.01818181818181818
0.2800000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2800000000000001,F,1.0,0.0,0.0
0.2800000000000001,G,0.9946409431939979,0.0,0.0053590568060021436
0.2800000000000001,H,1.0,0.0,0.0
0.2800000000000001,I,1.0,0.0,0.0
0.2800000000000001,J,0.9981634527089073,0.0,0.0018365472910927456
0.2800000000000001,K,1.0,0.0,0.0
0.2800000000000001,L,0.9970149253731343,0.0,0.0029850746268656717
0.2800000000000001,M,0.9901768172888016,0.0,0.009823182711198428
0.2800000000000001,N,0.984375,0.0,0.015625
0.2800000000000001,O,1.0,0.0,0.0
0.2800000000000001,P,0.991869918699187,0.0,0.008130081300813009
0.2800000000000001,Q,1.0,0.0,0.0
0.2800000000000001,R,0.9931506849315068,0.0,0.00684931506849315
0.2800000000000001,S,0.9831932773109243,0.0,0.01680672268907563
0.2800000000000001,T,0.9977528089887641,0.0,0.0022471910112359553
0.2800000000000001,U,1.0,0.0,0.0
0.2800000000000001,V,1.0,0.0,0.0
0.2800000000000001,W,1.0,0.0,0.0
0.2800000000000001,X,1.0,0.0,0.0
0.2800000000000001,Y,1.0,0.0,0.0
0.2800000000000001,Z,0.9583333333333334,0.0,0.041666666666666664
0.2800000000000001,mixed,1.0,0.0,0.0
0.2900000000000001,A,0.9967741935483871,0.0,0.0032258064516129032
0.2900000000000001,B,0.996,0.0,0.004
0.2900000000000001,C,0.9926062846580407,0.0,0.0073937153419593345
0.2900000000000001,D,0.9818181818181818,0.0,0.01818181818181818
0.2900000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2900000000000001,F,1.0,0.0,0.0
0.2900000000000001,G,0.9946409431939979,0.0,0.0053590568060021436
0.2900000000000001,H,1.0,0.0,0.0
0.2900000000000001,I,1.0,0.0,0.0
0.2900000000000001,J,0.9963269054178145,0.0,0.0036730945821854912
0.2900000000000001,K,1.0,0.0,0.0
0.2900000000000001,L,0.9970149253731343,0.0,0.0029850746268656717
0.2900000000000001,M,0.9901768172888016,0.0,0.009823182711198428
0.2900000000000001,N,0.9739583333333334,0.0,0.026041666666666668
0.2900000000000001,O,1.0,0.0,0.0
0.2900000000000001,P,0.991869918699187,0.0,0.008130081300813009
0.2900000000000001,Q,1.0,0.0,0.0
0.2900000000000001,R,0.9931506849315068,0.0,0.00684931506849315
0.2900000000000001,S,0.9831932773109243,0.0,0.01680672268907563
0.2900000000000001,T,0.9955056179775281,0.0,0.0044943820224719105
0.2900000000000001,U,1.0,0.0,0.0
0.2900000000000001,V,1.0,0.0,0.0
0.2900000000000001,W,1.0,0.0,0.0
0.2900000000000001,X,1.0,0.0,0.0
0.2900000000000001,Y,1.0,0.0,0.0
0.2900000000000001,Z,0.9166666666666666,0.0,0.08333333333333333
0.2900000000000001,mixed,1.0,0.0,0.0
0.3000000000000001,A,0.9967741935483871,0.0,0.0032258064516129032
0.3000000000000001,B,0.996,0.0,0.004
0.3000000000000001,C,0.9926062846580407,0.0,0.0073937153419593345
0.3000000000000001,D,0.9787878787878788,0.0,0.021212121212121213
0.3000000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.3000000000000001,F,1.0,0.0,0.0
0.3000000000000001,G,0.9946409431939979,0.0,0.0053590568060021436
0.3000000000000001,H,1.0,0.0,0.0
0.3000000000000001,I,1.0,0.0,0.0
0.3000000000000001,J,0.9963269054178145,0.0,0.0036730945821854912
0.3000000000000001,K,1.0,0.0,0.0
0.3000000000000001,L,0.9970149253731343,0.0,0.0029850746268656717
0.3000000000000001,M,0.9901768172888016,0.0,0.009823182711198428
0.3000000000000001,N,0.9739583333333334,0.0,0.026041666666666668
0.3000000000000001,O,1.0,0.0,0.0
